Id,PassengerBooked,OriginAirport,DestinationAirport,Duration,DepartureTime,ArrivalTime,DepartureDate,ArrivalDate
1,101,SJO,MIA,02:45,06:00,08:45,2025-06-01,2025-06-01
2,202,MIA,SJO,02:50,10:00,12:50,2025-06-01,2025-06-01
3,303,SJO,BOG,01:30,07:15,08:45,2025-06-02,2025-06-02
4,404,BOG,SJO,01:35,09:30,11:05,2025-06-02,2025-06-02
5,105,SJO,MEX,03:10,05:45,08:55,2025-06-03,2025-06-03
6,206,MEX,SJO,03:05,11:00,14:05,2025-06-03,2025-06-03
7,307,MIA,JFK,03:00,08:00,11:00,2025-06-04,2025-06-04
8,408,JFK,MIA,03:10,13:00,16:10,2025-06-04,2025-06-04
9,109,BOG,LIM,02:00,06:30,08:30,2025-06-05,2025-06-05
10,210,LIM,BOG,02:05,09:00,11:05,2025-06-05,2025-06-05
11,311,SJO,GUA,00:55,07:00,07:55,2025-06-06,2025-06-06
12,412,GUA,SJO,01:00,09:00,10:00,2025-06-06,2025-06-06
13,113,PTY,SJO,01:10,06:00,07:10,2025-06-07,2025-06-07
14,214,SJO,PTY,01:05,08:00,09:05,2025-06-07,2025-06-07
15,315,MIA,LHR,08:45,21:00,05:45,2025-06-08,2025-06-09
16,416,LHR,MIA,09:00,10:00,19:00,2025-06-08,2025-06-08
17,117,JFK,LHR,07:00,22:00,05:00,2025-06-09,2025-06-10
18,218,LHR,JFK,07:30,09:00,16:30,2025-06-09,2025-06-09
19,319,MEX,BOG,03:45,07:00,10:45,2025-06-10,2025-06-10
20,420,BOG,MEX,03:50,12:00,15:50,2025-06-10,2025-06-10
21,121,SJO,MIA,02:45,14:00,16:45,2025-06-11,2025-06-11
22,222,MIA,MEX,03:20,08:00,11:20,2025-06-11,2025-06-11
23,323,LIM,EZE,03:50,09:00,12:50,2025-06-12,2025-06-12
24,424,EZE,LIM,03:55,14:00,17:55,2025-06-12,2025-06-12
25,125,GRU,EZE,02:10,07:30,09:40,2025-06-13,2025-06-13
26,226,EZE,GRU,02:15,10:00,12:15,2025-06-13,2025-06-13
27,327,SCL,BOG,04:20,06:00,10:20,2025-06-14,2025-06-14
28,428,BOG,SCL,04:25,11:00,15:25,2025-06-14,2025-06-14
29,129,SJO,JFK,05:30,06:00,11:30,2025-06-15,2025-06-15
30,230,JFK,SJO,05:25,13:00,18:25,2025-06-15,2025-06-15
31,331,MEX,GRU,08:00,22:00,06:00,2025-06-16,2025-06-17
32,432,GRU,MEX,08:10,07:00,15:10,2025-06-16,2025-06-16
33,133,MIA,GRU,08:30,23:00,07:30,2025-06-17,2025-06-18
34,234,GRU,MIA,08:20,09:00,17:20,2025-06-17,2025-06-17
35,335,SJO,HAV,02:00,08:00,10:00,2025-06-18,2025-06-18
36,436,HAV,SJO,02:05,11:00,13:05,2025-06-18,2025-06-18
37,137,PTY,BOG,01:20,07:00,08:20,2025-06-19,2025-06-19
38,238,BOG,PTY,01:25,09:00,10:25,2025-06-19,2025-06-19
39,339,SJO,SAL,00:50,06:30,07:20,2025-06-20,2025-06-20
40,440,SAL,SJO,00:55,08:30,09:25,2025-06-20,2025-06-20
41,141,MGA,SJO,00:45,07:00,07:45,2025-06-21,2025-06-21
42,242,SJO,MGA,00:40,09:00,09:40,2025-06-21,2025-06-21
43,343,TGU,SJO,01:00,06:00,07:00,2025-06-22,2025-06-22
44,444,SJO,TGU,01:05,08:00,09:05,2025-06-22,2025-06-22
45,145,BZE,SJO,01:30,07:00,08:30,2025-06-23,2025-06-23
46,246,SJO,BZE,01:25,09:00,10:25,2025-06-23,2025-06-23
47,347,SJO,SDQ,03:20,06:00,09:20,2025-06-24,2025-06-24
48,448,SDQ,SJO,03:25,10:00,13:25,2025-06-24,2025-06-24
49,149,MIA,CUN,01:45,08:00,09:45,2025-06-25,2025-06-25
50,250,CUN,MIA,01:50,11:00,12:50,2025-06-25,2025-06-25
